mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.20044922828674316,0.02209440118069459,1.0944814682006836,0.04191228542631121,17,2,"{'n_neighbors': 17, 'p': 2}",-375.16701765864497,-401.2292556925447,-376.9188535205507,-371.7018608138505,-390.17109263172244,-383.0376160634627,11.04270946579571,37,-362.1793179599119,-358.06004699611657,-361.2003155702928,-363.0915545755989,-359.96468747976564,-360.8991845163372,1.7589709828105413
0.2002634048461914,0.026635002329876232,0.9857447147369385,0.05214098476785249,18,1,"{'n_neighbors': 18, 'p': 1}",-347.0636336719062,-368.8538472431416,-349.7889854512682,-346.8890948886314,-360.4032444959444,-354.5997611501783,8.67468205389851,13,-336.4359182333459,-333.1621911300368,-334.28061815653786,-336.38507167732007,-332.87974978918436,-334.628709797285,1.5284969929110697
0.22599525451660157,0.05827553031652362,1.1541208744049072,0.09907995573977667,18,2,"{'n_neighbors': 18, 'p': 2}",-376.5802726605646,-401.54494136124305,-377.78200077249903,-373.5470902536371,-391.92525428093217,-384.2759118657752,10.707316903397308,41,-363.835565469006,-360.3876722381545,-363.10192534229384,-364.7710107564259,-360.86928303368546,-362.5930913679131,1.6959584593549706
0.192891263961792,0.01914993691344713,1.0174717426300048,0.055950198088984736,19,1,"{'n_neighbors': 19, 'p': 1}",-348.2671276731976,-369.8144143814524,-349.9419223028603,-346.68034396535955,-361.7674940537903,-355.29426047533207,8.999614429416532,14,-338.4236856589201,-335.18172919916026,-336.79502010922096,-338.2841117334789,-334.79814702447567,-336.69653874505116,1.5107390323833414
0.18969230651855468,0.012096116626031333,1.157690954208374,0.04060524382740017,19,2,"{'n_neighbors': 19, 'p': 2}",-378.0219465939789,-401.9268670459604,-378.39809721290476,-375.0535646764652,-393.59818869305366,-385.3997328444726,10.496272390244311,43,-365.0962190825112,-362.136931143362,-365.12266777249596,-366.34074991081206,-363.122484822798,-364.3638105463959,1.5179233993637113
0.18660335540771483,0.010362703681199008,1.040205717086792,0.04484815306255756,20,1,"{'n_neighbors': 20, 'p': 1}",-349.3810798285251,-371.5507183408643,-350.89212050984935,-347.3251100811124,-362.67837775202787,-356.3654813024758,9.283446985150002,15,-340.03132006604676,-337.1297688363605,-338.983103528185,-340.07431782631363,-336.4120589768843,-338.52611384675805,1.5026928012556002
0.19028382301330565,0.019057945480542487,1.157711935043335,0.017889769983571394,20,2,"{'n_neighbors': 20, 'p': 2}",-378.8810972077396,-402.9085042289422,-379.24074159907303,-376.48216685979145,-394.6402665121669,-386.43055528154264,10.4554323697312,44,-367.0496147272675,-363.30708988731493,-366.37279995365276,-368.23393633045595,-365.2343071085105,-366.0395496014403,1.6769837228715097
0.22181177139282227,0.04674656347192398,1.1565009593963622,0.2182934380184,21,1,"{'n_neighbors': 21, 'p': 1}",-350.94372444841684,-372.0801816265841,-352.43224631683506,-348.1159796943111,-363.1689565745186,-357.34821773213315,8.959132650238685,17,-341.36082798462223,-338.4189913386055,-340.7029292569818,-341.8374121678102,-338.0788082685713,-340.07979380331824,1.5414782917409784
0.1873866081237793,0.01547431373601963,1.1732781410217286,0.0252113652516815,21,2,"{'n_neighbors': 21, 'p': 2}",-378.5161350833926,-403.9040722533945,-380.11509683827177,-377.40425978038957,-395.26253931468295,-387.04042065402626,10.634520500334459,46,-368.90901604406423,-365.1507529578269,-368.0814801327518,-370.0404490166381,-367.11889450757417,-367.86011853177104,1.6609095604664577
0.23955802917480468,0.03073016952304923,1.1042569160461426,0.12090951413668408,22,1,"{'n_neighbors': 22, 'p': 1}",-352.1076773996482,-373.0488987897746,-352.8047087327505,-348.8162382808385,-364.16968292426,-358.18944122545435,9.059877466873257,18,-342.5472373864656,-340.1579196852509,-342.0570071258907,-343.37181165106836,-339.81738654138866,-341.5902724780129,1.3785691103375157
0.19707226753234863,0.020356100200758884,1.2260605812072753,0.041735366971036574,22,2,"{'n_neighbors': 22, 'p': 2}",-378.8392949305358,-404.1703479002749,-380.7878805435584,-378.82765722111026,-396.1138628463078,-387.7478086883574,10.460038008472258,47,-370.57809475655137,-366.73965649367585,-369.74759573605235,-371.534582690353,-368.1569473484629,-369.3513754050191,1.7132401479675492
0.20645251274108886,0.04142649279237862,1.1369494438171386,0.0914285335040668,23,1,"{'n_neighbors': 23, 'p': 1}",-352.78962083087754,-373.8411287925728,-352.8557912237392,-350.079454884377,-364.96456244647084,-358.9061116356075,9.073998787317072,19,-344.30606700647246,-341.82495469046563,-343.5428699531238,-345.2885809427133,-341.45286433603775,-343.2830673857626,1.456835341450865
0.1719233512878418,0.005676782184954063,1.241287612915039,0.04126193538438923,23,2,"{'n_neighbors': 23, 'p': 2}",-379.5038158710009,-404.532841677875,-382.0092800644869,-379.1861000554184,-396.1286110131492,-388.2721297363861,10.244975356869821,48,-372.051186234466,-368.0844363166466,-371.14105938746053,-372.93645639957384,-369.5739692143384,-370.75742151049707,1.7386550786897579
